image,true_label,predicted,confidence,correct
3157_jpg.rf.aff78e8ebe0b554f263a7be338620fb0.jpg,clean,clean,0.999,True
2800_jpg.rf.d0707c4e4aafea4b4aa0a5748732b688.jpg,clean,clean,0.9997,True
3311_jpg.rf.4fd85641a1454b3071173092ae3650ec.jpg,clean,clean,0.999,True
1419_jpg.rf.e8fa1141574fb5d5b39fb70a3a06dcb9.jpg,clean,clean,0.9989,True
2868_png.rf.085d1868f34636e55c55dc4b39c0c065.jpg,clean,clean,0.9975,True
3401_jpg.rf.2080a9282c900988b03be2ace1f28507.jpg,clean,clean,0.9972,True
5843_jpg.rf.5ee93e78b1b408e355c76a3343db8486.jpg,clean,clean,0.9903,True
119_jpg.rf.67b96fee6a6febb814d8571cb8d97082.jpg,clean,clean,0.9994,True
3292_jpg.rf.a078aa6a03af1ad017d2a307a4f4681a.jpg,clean,clean,0.9984,True
1911_jpg.rf.685eca11140ac72ac9e5f7f7118530bc.jpg,clean,clean,0.9989,True
2985_jpg.rf.156576596a473e4f394c37a7f43c18f1.jpg,clean,clean,0.9993,True
1658_jpg.rf.5decc76a698592b8732243e80c9b5f35.jpg,clean,clean,0.9995,True
1474_jpg.rf.4fc3882f63abc816752d834dc1d687d0.jpg,clean,clean,0.9993,True
328_jpg.rf.0031d0c395bc1512bfecc6a05f81ee87.jpg,clean,clean,0.9998,True
314_jpg.rf.456c8f7a378e15b0c14f3299af7d9bd5.jpg,clean,clean,0.9994,True
1251_jpg.rf.2deb413e0ecbff8cae250c34c2fe2ebd.jpg,clean,clean,0.9998,True
953_jpg.rf.21969987aee5c654082b4db9d6702655.jpg,clean,clean,0.9991,True
2462_jpg.rf.c573c3a840a108d48dbe41f663ea492d.jpg,clean,clean,0.9998,True
2312_jpg.rf.e2262ad9d0b82ef8115eb22f2e4f066a.jpg,clean,clean,0.9998,True
3419_jpg.rf.5ba3332a01a433ed4c13dc3d524b8359.jpg,clean,clean,0.997,True
5057_jpg.rf.569601003ab29efda102882be5f86d4c.jpg,clean,clean,0.9999,True
